City,state_code,State,Latitude,Longitude
Kolhapur ,27,MAHARASHTRA,"16.7049873,74.2432527","16.7049873,74.2432527"
Latur ,27,MAHARASHTRA,"18.4087934,76.5603828","18.4087934,76.5603828"
Malegaon ,27,MAHARASHTRA,"20.5547497,74.5100291","20.5547497,74.5100291"
Mira Bhayander ,27,MAHARASHTRA,"19.2952325,72.8543897","19.2952325,72.8543897"
Nagpur ,27,MAHARASHTRA,"21.1458004,79.0881546","21.1458004,79.0881546"
Nanded Waghala ,27,MAHARASHTRA,"19.1428869,77.303723","19.1428869,77.303723"
Nandurbar ,27,MAHARASHTRA,"21.7468548,74.123996","21.7468548,74.123996"
Nashik ,27,MAHARASHTRA,"19.9974533,73.7898023","19.9974533,73.7898023"
Navi Mumbai ,27,MAHARASHTRA,"19.0330488,73.0296625","19.0330488,73.0296625"
Navi Mumbai Panvel Raigarh ,27,MAHARASHTRA,"18.9894007,73.1175162","18.9894007,73.1175162"
Osmanabad ,27,MAHARASHTRA,"18.2069636,76.1783739","18.2069636,76.1783739"
Panvel ,27,MAHARASHTRA,"18.9894007,73.1175162","18.9894007,73.1175162"
Parbhani ,27,MAHARASHTRA,"19.2609958,76.776665","19.2609958,76.776665"
Pimpri Chinchwad ,27,MAHARASHTRA,"18.6297811,73.7997094","18.6297811,73.7997094"
Pune ,27,MAHARASHTRA,"18.5204303,73.8567437","18.5204303,73.8567437"
Sangli Miraj Kupwad ,27,MAHARASHTRA,"16.8541887,74.6049061","16.8541887,74.6049061"
Satara ,27,MAHARASHTRA,"17.6804639,74.018261","17.6804639,74.018261"
Solapur ,27,MAHARASHTRA,"17.6599188,75.9063906","17.6599188,75.9063906"
Thane ,27,MAHARASHTRA,"19.2183307,72.9780897","19.2183307,72.9780897"
Udgir ,27,MAHARASHTRA,"18.3942882,77.1126009","18.3942882,77.1126009"
Ulhasnagar ,27,MAHARASHTRA,"19.2215115,73.1644628","19.2215115,73.1644628"
Vasai Virar City ,27,MAHARASHTRA,"19.3919275,72.8397317","19.3919275,72.8397317"
Wardha ,27,MAHARASHTRA,"20.745319,78.6021946","20.745319,78.6021946"
Yavatmal ,27,MAHARASHTRA,"20.3887937,78.1204073","20.3887937,78.1204073"
Imphal ,14,MANIPUR ,"24.8170111,93.9368439","24.8170111,93.9368439"
Shillong ,17,MEGHALAYA,"25.5714,91.8848","25.5714,91.8848"
Aizawl ,15,MIZORAM,"23.727107,92.7176389","23.727107,92.7176389"
Dimapur ,13,NAGALAND,"25.8629885,93.7536663","25.8629885,93.7536663"
Baleshwar Town ,21,ORISSA,"21.4869337,86.9246005","21.4869337,86.9246005"
Baripada Town ,21,ORISSA,"21.9322338,86.7516942","21.9322338,86.7516942"
Bhadrak ,21,ORISSA,"21.0582737,86.4958396","21.0582737,86.4958396"
Bhubaneswar Town ,21,ORISSA,"20.2960587,85.8245398","20.2960587,85.8245398"
Brahmapur Town ,21,ORISSA,"19.3149618,84.7940911","19.3149618,84.7940911"
Cuttack ,21,ORISSA,"20.462521,85.8829895","20.462521,85.8829895"
Puri ,21,ORISSA,"19.8133822,85.8314655","19.8133822,85.8314655"
Raurkela Industrial Township ,21,ORISSA,"22.1993143,84.8620054","22.1993143,84.8620054"
Raurkela Town ,21,ORISSA,"22.260423,84.8535844","22.260423,84.8535844"
Sambalpur ,21,ORISSA,"21.4668716,83.9811665","21.4668716,83.9811665"
Ozhukarai ,34,PUDUCHERRY,"11.9475611,79.7793932","11.9475611,79.7793932"
Puducherry ,34,PUDUCHERRY,"11.9138598,79.8144722","11.9138598,79.8144722"
Abohar ,3,PUNJAB,"30.1452928,74.1993043","30.1452928,74.1993043"
Amritsar ,3,PUNJAB,"31.6339793,74.8722642","31.6339793,74.8722642"
Barnala ,3,PUNJAB,"30.3819446,75.5467979","30.3819446,75.5467979"
Batala ,3,PUNJAB,"31.8183238,75.2070644","31.8183238,75.2070644"
Bathinda ,3,PUNJAB,"30.210994,74.9454745","30.210994,74.9454745"
Firozpur ,3,PUNJAB,"30.9331348,74.6224755","30.9331348,74.6224755"
Hoshiarpur ,3,PUNJAB,"31.5143178,75.911483","31.5143178,75.911483"
Jalandhar ,3,PUNJAB,"31.3260152,75.5761829","31.3260152,75.5761829"
Khanna ,3,PUNJAB,"30.697852,76.2112286","30.697852,76.2112286"
Ludhiana ,3,PUNJAB,"30.900965,75.8572758","30.900965,75.8572758"
Malerkotla ,3,PUNJAB,"30.5232076,75.8882508","30.5232076,75.8882508"
Moga ,3,PUNJAB,"30.8164603,75.1717093","30.8164603,75.1717093"
Muktsar ,3,PUNJAB,"30.4766391,74.511172","30.4766391,74.511172"
Pathankot ,3,PUNJAB,"32.2643375,75.6421121","32.2643375,75.6421121"
Patiala ,3,PUNJAB,"30.3397809,76.3868797","30.3397809,76.3868797"
S.A.S. Nagar ,3,PUNJAB,"30.6496486,76.7567368","30.6496486,76.7567368"
Ajmer ,8,RAJASTHAN,"26.4498954,74.6399163","26.4498954,74.6399163"
Alwar ,8,RAJASTHAN,"27.5529907,76.6345735","27.5529907,76.6345735"
Banswara ,8,RAJASTHAN,"23.5461394,74.4349761","23.5461394,74.4349761"
Baran ,8,RAJASTHAN,"25.1011438,76.5131637","25.1011438,76.5131637"
Beawar ,8,RAJASTHAN,"26.1007337,74.3190747","26.1007337,74.3190747"
Bharatpur ,8,RAJASTHAN,"27.216981,77.489515","27.216981,77.489515"
Bhilwara ,8,RAJASTHAN,"25.321377,74.586953","25.321377,74.586953"
Bhiwadi ,8,RAJASTHAN,"28.2088218,76.8445999","28.2088218,76.8445999"
Bikaner ,8,RAJASTHAN,"28.0229348,73.3119159","28.0229348,73.3119159"
Bundi ,8,RAJASTHAN,"25.4305144,75.6499025","25.4305144,75.6499025"
Chittaurgarh ,8,RAJASTHAN,"24.8887435,74.6269216","24.8887435,74.6269216"
Churu ,8,RAJASTHAN,"28.3174965,74.9851678","28.3174965,74.9851678"
Dhaulpur ,8,RAJASTHAN,"26.7025181,77.893391","26.7025181,77.893391"
Ganganagar ,8,RAJASTHAN,"29.9038399,73.8771901","29.9038399,73.8771901"
Gangapur City ,8,RAJASTHAN,"26.4846537,76.7278803","26.4846537,76.7278803"
Hanumangarh ,8,RAJASTHAN,"29.5815012,74.3294199","29.5815012,74.3294199"
Hindaun ,8,RAJASTHAN,"26.7454967,77.0330481","26.7454967,77.0330481"
Jaipur ,8,RAJASTHAN,"26.9124336,75.7872709","26.9124336,75.7872709"
Jhunjhunun ,8,RAJASTHAN,"28.1288747,75.3995089","28.1288747,75.3995089"
Jodhpur ,8,RAJASTHAN,"26.2389469,73.0243094","26.2389469,73.0243094"
Kishangarh ,8,RAJASTHAN,"26.5870344,74.856397","26.5870344,74.856397"
Kota ,8,RAJASTHAN,"25.2138156,75.8647527","25.2138156,75.8647527"
Nagaur ,8,RAJASTHAN,"27.1991222,73.740924","27.1991222,73.740924"
Pali ,8,RAJASTHAN,"25.7710893,73.3234478","25.7710893,73.3234478"
Sawai Madhopur ,8,RAJASTHAN,"26.0377772,76.3521514","26.0377772,76.3521514"
Sikar ,8,RAJASTHAN,"27.6094,75.139911","27.6094,75.139911"
Sujangarh ,8,RAJASTHAN,"27.7044756,74.4642861","27.7044756,74.4642861"
Tonk ,8,RAJASTHAN,"26.1620402,75.7894716","26.1620402,75.7894716"
Udaipur ,8,RAJASTHAN,"24.585445,73.712479","24.585445,73.712479"
Alandur ,33,TAMIL NADU,"12.9974873,80.2006371","12.9974873,80.2006371"
Ambattur ,33,TAMIL NADU,"13.1143167,80.1480551","13.1143167,80.1480551"
Ambur ,33,TAMIL NADU,"12.7903613,78.7166084","12.7903613,78.7166084"
Avadi ,33,TAMIL NADU,"13.1067448,80.0969511","13.1067448,80.0969511"
Chennai ,33,TAMIL NADU,"13.0826802,80.2707184","13.0826802,80.2707184"
Coimbatore ,33,TAMIL NADU,"11.0168445,76.9558321","11.0168445,76.9558321"
Cuddalore ,33,TAMIL NADU,"11.744699,79.7680243","11.744699,79.7680243"
Dindigul ,33,TAMIL NADU,"10.3673123,77.9802906","10.3673123,77.9802906"
Erode ,33,TAMIL NADU,"11.3410364,77.7171642","11.3410364,77.7171642"
Hosur ,33,TAMIL NADU,"12.7409127,77.8252923","12.7409127,77.8252923"
Kancheepuram ,33,TAMIL NADU,"12.8341735,79.7036402","12.8341735,79.7036402"
